Date,JSE,ABSA,CAPITEC,FNB,INVESTEC,NEDBANK,STANDARD,BTC,DOGE,ETH,XMR,XRP
2017-11-10,59776.11,14236,92486,5265,9574,20930,16800,6618.140137,0.001163,299.252991,105.585999,0.206483
2017-11-13,59821.49,14188,92572,5254,9593,21103,16661,6559.490234,0.001211,316.716003,123.402,0.203442
2017-11-14,59518.89,14370,93206,5248,9620,21115,16518,6635.75,0.001184,337.631012,122.352997,0.209825
2017-11-15,59185.2,14300,92820,5257,9525,20675,16279,7315.540039,0.001339,333.356995,121.374001,0.212956
2017-11-16,59549.21,14300,94153,5292,9396,20820,16298,7871.689941,0.00139,330.924011,120.305,0.227107
2017-11-17,60128.4,14776,97428,5473,9297,21080,16656,7708.990234,0.001313,332.394012,126.699997,0.226581
2017-11-20,60500.61,14800,98252,5434,9302,21100,16606,8200.639648,0.001394,366.730011,135.764999,0.238759
2017-11-21,61211.52,15000,99392,5536,9201,21098,16690,8071.259766,0.001389,360.401001,141.738007,0.233271
2017-11-22,60751.18,15231,99000,5489,9330,21245,16849,8253.549805,0.001823,380.652008,165.949997,0.238859
2017-11-23,60298.16,15330,97500,5519,9389,21500,17069,8038.77002,0.001891,410.165985,158.606995,0.242402
2017-11-24,60323.95,15130,97500,5465,9365,21249,16830,8253.69043,0.001908,474.911011,160.026993,0.244642
2017-11-27,60157.56,15461,98100,5530,9293,21950,17220,9818.349609,0.001988,480.355011,173.391998,0.253927
2017-11-28,60082.79,15889,98525,5627,9329,22508,17515,10058.79981,0.002363,472.902008,203.210007,0.299152
2017-11-29,60418.38,15850,98813,5703,9547,22715,17317,9888.610352,0.00208,427.52301,168.149994,0.243064
2017-11-30,59772.83,15778,98479,5635,9504,23130,17300,10233.59961,0.002079,447.114014,180.138,0.250878
2017-12-01,59449.37,16000,97721,5660,9497,23431,17545,10975.59961,0.002148,466.540009,190.938004,0.255699
2017-12-04,59607.33,16000,97577,5700,9322,23040,17703,11657.2002,0.002463,470.20401,210.242004,0.253571
2017-12-05,58977.23,16150,99600,5841,9273,23330,18049,11916.7002,0.002479,463.281006,269.484009,0.246101
2017-12-06,58010.18,16058,97700,5762,8850,22913,18179,14291.5,0.002663,428.588013,278.684998,0.232544
2017-12-07,58013.17,15950,94975,5737,8820,22700,17944,17899.69922,0.00272,434.40799,280.855011,0.222823
2017-12-08,58012.3,15699,93303,5565,8500,22713,17642,16569.40039,0.002779,456.031006,276.743988,0.252125
2017-12-11,57997.32,15050,94418,5409,8700,21912,17144,16936.80078,0.002798,515.135986,279.669006,0.251691
2017-12-12,57523.61,15095,93393,5352,8677,21772,16757,17415.40039,0.003304,651.43103,308.066986,0.373541
2017-12-13,57344.4,15170,92100,5444,8505,21993,17019,16408.19922,0.003461,702.767029,305.744995,0.471063
2017-12-14,57845.57,16005,96965,5698,8632,23000,17835,16564,0.003709,695.815979,325.205994,0.864263
2017-12-15,57412.75,16184,97196,5601,8550,23024,17724,17706.90039,0.003762,684.447998,312.321991,0.756181
2017-12-18,57707.42,17150,100100,5989,8812,24000,18500,19114.19922,0.006433,794.64502,381.511993,0.778407
2017-12-19,58170.43,19126,105002,6531,8812,25375,19788,17776.69922,0.005666,826.822998,377.235992,0.791257
2017-12-20,58032.09,18110,104500,6520,8950,25230,19126,16624.59961,0.006661,819.085999,469.197998,0.775964
2017-12-21,58771.78,17395,107001,6414,9000,24810,19131,15802.90039,0.007425,821.062988,417.980011,1.19306
2017-12-22,58800.23,17200,105052,6365,9023,24758,18723,13831.79981,0.006054,674.859985,346.113007,1.13828
2017-12-27,58844,17685,107570,6620,8960,25185,19250,15838.5,0.008872,762.84198,421.848999,1.39964
2017-12-28,58952.88,17800,107097,6593,8880,25287,19350,14606.5,0.008486,737.02301,378.903992,1.43088
2017-12-29,59504.67,18199,109796,6725,8972,25610,19566,14656.2002,0.009391,753.59198,377.365997,2.2146
2018-01-02,59731.15,17736,108015,6628,9020,26112,19428,14982.09961,0.009145,884.44397,383.416992,2.4809
2018-01-03,59629.64,16962,107296,6330,8967,25200,18507,15201,0.00932,962.719971,412.062988,3.10537
2018-01-04,59476.76,16960,106331,6316,9010,25232,18759,15599.2002,0.009644,980.921997,403.048004,3.19663
2018-01-05,59717.2,17000,106511,6371,8988,25830,18780,17429.5,0.012167,997.719971,384.936005,3.04871
2018-01-08,60038.38,17096,106021,6314,8883,25550,18974,15170.09961,0.015045,1148.530029,405.074005,2.45621
2018-01-09,60113.64,17620,106285,6339,8864,26025,19208,14595.40039,0.01342,1299.73999,413.334015,2.10178
2018-01-10,59979.63,17446,103358,6300,8865,25420,19096,14973.29981,0.013102,1255.819946,407.740997,1.97492
2018-01-11,59606.01,17200,102284,6104,8981,24922,18744,13405.79981,0.011469,1154.930054,355.59201,1.9508
2018-01-12,60083.13,17250,101643,6165,9120,25250,18875,13980.59961,0.013056,1273.199951,394.78299,2.04323
2018-01-15,60240.96,17200,102061,6150,9105,25250,18850,13819.79981,0.009857,1291.920044,414.570007,1.67673
2018-01-16,60649.59,17800,102754,6309,9036,25772,19600,11490.5,0.006822,1053.689941,320.036987,1.17924
2018-01-17,60924.46,17844,102219,6425,9106,26086,19915,11188.59961,0.007648,1014.25,319.186005,1.30634
